id,due,name,text
12,2023-10-19T00:00:00Z,member-48h5,It was our pleasure to host Professor @ catherine sutherland from @ UKZN for a short but productive visit to Zurich this month. During her stay Prof Sutherland delivered a very compelling lecture to our 'International Engineering' course students on 'Development Perspectives from the South'. We were also fortunate to have her spend time in the GHE offices enaging with the students in our group and brainstorming new research pathways. @ghe is looking forward to another year of collaboration and exchane with Prof Sutherland and her team. Thank you for visiting @cathy and see you in Durban!
13,2023-10-26T00:00:00Z,member-l5ex,"How do hospitals manage their infectious waste when there is no garbage collection?  @MAVT student @Mosé Peduzzi is in Cape Maclear, Malawi, working with a local clinic to improve the combustion of their incinerator to ensure the health of the workers and community."
14,2023-11-02T00:00:00Z,member-lfen,"Who is following the negotiations for the UN Global Plastic Treaty? Our PhD student @Lin Boynton will be at the #UNEP headquarters in Nairobi next week for the third session of the Intergovernmental Negotiating Committee to develop an international legally binding instrument on plastic pollution, including in the marine environment (INC-3). 

Let us know if you'll also be there! 

#INC3 #globalplasticstreaty #plasticpollution #globalhealth #humanhealth #circulareconomy"
15,2023-11-09T00:00:00Z,member-mbh2,"Curious about the daily personal exposure to PM2.5 and Black Carbon emissions in Blantyre? Our bachelor's thesis student, @Valentin Hirsh, has designed a comfortable user-friendly monitoring kit to answer that, which @Saloni Vijay is using in Malawi for her PhD project! Our volunteers in Malawi are excited to wear this innovative kit.
Stay tuned for updates as we delve into the impacts and findings of the project.
#CleanAirMission #MalawiResearch #AirQualityProject"
16,2023-11-16T00:00:00Z,member-6b54,The first edition of data science for openwashdata received more than 200 registrations from 80+ countries around the world. Each week we tune in together for two hours and a half learning time. It is amazing and motivating to see the dedication and persistence. openwashdata also reached 1.8K unique visitors to the website and 5.7K total pageviews. Thanks for everyone making this community grow!
17,2023-11-23T00:00:00Z,member-pzlu,"Did you know that Switzerland has the highest innovation index in the world in 2023 according to https://www.wipo.int/global_innovation_index/en/2023? Countries were analyzed across 80 indicators in categories like Knowledge and Technology Outputs or Human Capital and Research. That is where the ETH contributions are hard to be neglected. That is where we compete at the highest level to move the innovation and technological advancement forward, which in turn brings the economic growth. That is also where we encourage cultural values, freedom, tolerance, diversity, education, experimentation, and ambition."
18,2023-11-30T00:00:00Z,member-mbh2,"Black carbon exposure concentrations above 100 µg/m3 ☠
Our team in Blantyre, Malawi (@Saloni Vijay, Lennox Khonje, Mwaiwathu, Hope Kevin Chilunga) found very high peaks in personal exposure to Black Carbon concentrations. 
What do you think is the reason for the peak shown in the graph?"
21,2024-01-11T00:00:00Z,member-pzlu,We are urgently looking for a student willing to work on image classification for informal dump sites in South Africa! The work should adapt Random Forests or DNNs applied to images from Google Earth. We plan to quantify the total area and number of all dump sites in four South Africa's Municipalities. All the details are available here: https://sirop.org/app/15cd80c0-0bdc-4741-a68d-b2fe8d24e695?_k=wy1yadA05G-27BUc
22,2024-01-18T00:00:00Z,member-lfen,"The revised zero draft for the #GlobalPlasticsTreaty was just released and comes in at a whopping 70 pages. How did we end up here? Our PhD student, @Lin Boynton, shares her perspective after attending the third session of the International Negotiating Committee (#INC3) in Kenya:
https://ghe.ethz.ch/ghe-blog-news/2023/12/blog-the-elephants-in-the-room-at-the-negotiations-for-the-global-plastics-treaty.html"
23,2024-01-25T00:00:00Z,member-48h5,"Last year Global Health Engineering MSc student Philippe Colbach, worked with Durban organisation Asiye eTafuleni to design and build a custom urine trolley to collect urine from urinals throughout the city. We are pleased to see it on the streets and actively servicing these emerging urban sanitation solutions. We are looking forward to continuing our partnership with Asiye eTafuleni to develop solutions to store and beneficiate collected urine, and to continue to make Central Durban a healthier and more livable space for commuters and informal workers."
24,2024-02-01T00:00:00Z,member-l5ex,"Meet the dream team!  Last week in Blantyre, Malawi, we had the chance to meet up with our long time friends and collaborators. From L-R: @Elizabeth Tilley, @Wrixon Mpanang'ombe, @Johnathan Kwangulero, @Hope Chilunga, @Lin Boynton, @Doreen Ndovie, @Sally Changaya"
25,2024-02-08T00:00:00Z,member-lfen,"Did you catch us on TV the other day? @Elizabeth Tilley was the keynote speaker (and shark tank panelist 🦈) at a think tank event held by @WASTE Advisers Malawi. After the keynote, there were lots of questions from attendees who were shocked about #airquality data from this paper: https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2023.1242726/full. 

The presentations throughout the day revealed similar data and outdated policies for #wastemanagement, which result in serious #environmental and #humanhealth issues. @Global Health Engineering is part of the network of professionals, researchers, and innovators that came together for the event -- a network that will continue to focus on waste management challenges and solutions in Malawi. 

Thanks to the other sponsors and all the attendees who sparked such interesting conversations and ideas! @Billy Bray @Gerald Bowler (To find the correct person: Chibuku Products Ltd, either of the two profiles) @Daniel Dunga (FCCA) @Bernard Masi Bsoc.Sc(Econs),FCCA,CPA,MBA,DipMc,PGC(Proj Fin) @Lin Boynton @Manota Andrew Mphande @Centre for Environmental Policy and Advocacy @Richard Mvula (To find the correct person: Staff Associate in Geology at Malawi University of Science and Technology) @MADALITSO AMOS (To find the correct person to tag: all caps name, studied at University of Malawi)"
26,2024-02-15T00:00:00Z,member-gj3t,"Lab equipment and scientific machinery combined make up the largest contribution of scope 3 emissions at ETH. Scope 3 indirect emissions are a consequence of the activities, occurring from external sources, e.g., disposed of products from suppliers such as the lab plastic.

LEAF initiative of the ETH Sustainability team assesses the actions taken by the groups towards sustainable operation and the scope 3 emission minimization from laboratories and workshops. We, as a group, were happy to take part in the first round of sustainability assessments. Lin Boynton and Jakub Tkaczuk applied for the bronze certificate and received it during the recent GreenLabs certification ceremony."
27,2024-02-22T00:00:00Z,member-6b54,"Proudly announce that, from this year, openwashdata starts partnerships to expand the community interested in open code and data. We are glad to have our first collaborator, @WASHWeb, to address challenges in accessing, using and sharing WASH data effectively through joint efforts. Reach out to our team if your organization is interested in partnering with openwashdata. https://buttondown.email/openwashdata/archive/openwashdata-news-07-partnership/"
28,2024-02-29T00:00:00Z,member-pzlu,"Have you been skiing recently? Every year, the ski season gets shorter and shorter. Some resprts have already been decommissioned; others will go soon. So long, skiing! But that's just skiing.

What about the bigger picture? Data on CO2 and CH4 concentration in the atmosphere + yearly temperature increase may answer this question.
Data source for the figure: NASA, NOAA (https://climate.nasa.gov/)."
29,2024-03-07T00:00:00Z,member-mbh2,"Congratulations to GHE alumni @Lena Xue for receiving the prestigious outstanding master’s thesis award from ETH Zurich! 🏆🎉 
Lena  investigated faecal sludge treatment in Kumasi, Ghana in cooperation with @Kwame Nkrumah' University of Science and Technology, Kumasi and Sewerage Systems Ghana Limited and is a student in @DBAUG. Also thanks to @Eugene Appiah-Effah for supporting the project."
30,2024-03-14T00:00:00Z,member-gj3t,"📊 Research Data Management in practice 📈 

We
 have 18 students in our ""Research Beyond the Lab"" class this year. Open
 Science is in the title, but we actively teach Research Data Management
 for a waste-related research project designed and implemented by the 
students. 

In module 4, we introduce our definitions for three 
stages of research data. How do you differentiate between them? How do 
you treat them?

- Stage 1: unprocessed raw data
- Stage 2: processed analysis-ready data
- Stage 3: final data underlying a publication

Slides: https://lnkd.in/dUJ9e5Ea"
31,2024-03-21T00:00:00Z,member-l5ex,"📕""Too rarely discussed is the fact that the necessary starting point of this reporting journey involves the strategic use of estimations and approximations in lieu of exact data""  Here at GHE we love exact data🤓.  And that's why @Till Haüsser and @Mario Loeliger are investigating ways to reliably measure methane emissions from biogas burning🔥.  From small projects to sector-wide reform! 🚀"
32,2024-03-28T00:00:00Z,member-pzlu,"Open research needs reproducibility and it should include hardware design! Our next action towards reproducible scientific and engineering work is publishing hardware designs openly, under permissive license. The first completed case is the work of @Timo Stutz's on HDPE pre-cleaning system design, manufacturing, and testing, all available on Github (https://github.com/Global-Health-Engineering/pre-cleaning-system-design-for-HDPE-bottles). This repository was certified by the Open Source Hardware Association (https://certification.oshwa.org/ch000021.html) and establishes a workflow we will continue to maintain and promote in the future."
34,2024-04-11T00:00:00Z,member-6b54,"Open data is at the heart of GHE research practice. Check out this newly released data package led by current Ph.D. student @Saloni on source apportionment of light-absorbing carbonaceous aerosols (LAC) in Blantyre, Malawi. These original reproducible datasets offer insights about local pollution from several sources including vehicles, cooking from solid biofuels, and waste burning. Collaboration with wonderful @Hope Kelvin Chilunga @Lennox Khonje @Jack Kamjombo @Elizabeth Tilley @Lars Schöbitz.  https://global-health-engineering.github.io/bcsa/"
35,2024-04-18T00:00:00Z,member-pzlu,"February 2024 was the warmest February on record with a global surface air temperature 1.77°C above the 1850-1900 pre-industrial average. January 2024 was the warmest January on record, along with every single month since June of 2023. The previous months are consequently surpassing the 1.5 °C goal of the Paris Agreement. Switzerland has committed to halving its greenhouse gas emissions by 2030 and reaching net zero by 2050, partly through emission offsetting in other countries, with a goal of offsetting over a million tonnes of CO2-equivalent until 2030. Only the relevant technology allows for emission offsetting and only the relevant technology allows for accurate emission estimation.

Currenlty, five of our students develop solutions to reliably and inexpensively estimate the emissions offset by the biogas reactors and improved cookstoves, both interesting and important for the Swiss policy makers.

Thank you @Louis Ambuehl, @Till Haeussner, @Mario Loeliger, @Gian Teufen, and @Michele Strzelecki."
36,2024-04-25T00:00:00Z,member-mbh2,"This semester, 5 students 👨🏻‍🔧🧑🏼‍🌾👨🏼‍🏭👷🏼‍♂️👩🏼‍⚕️ from 4 departments 📈🔭⚒️🧱 each completed their masters on a portion of a comprehensive waste-management strategy for the biggest tourist 🏝️destination in Malawi 🇲🇼 and how they are finished 🥳!  
                                                                                                                                                                                                                                                                     All of their work will be published on our website shortly: https://ghe.ethz.ch/publications/theses.html 
@Josch Stricker: Waste Logistics and Transport Modelling. 
@Elena Abgottspon: Economic Feasibility of Waste Collection. 
@Raphael Meier: Waste Separation and Valorisation Pathways. 
@Philippe Colbach: Glass Crusher Construction and Waste Valorization Evaluation. 
@Mose Peduzzi: Development of a Low-Cost Incinerator."
37,2024-05-02T00:00:00Z,member-7i21,"It was our pleasure here at Global Health Engineering to host Dr Festus Boamah last month 🎉. 

Dr Boamah gave a fantastic and informative presentation as part of ETH Zürich's @ETH Zurich | Institute of Science, Technology and Policy (ISTP) #ISTPColloquium on 'The Beyond Energy Justice Scholarship' ☀️⚖️. 

Please see find his important works here: https://www.researchgate.net/profile/Festus-Boamah"
38,2024-05-09T00:00:00Z,member-l5ex,Researcher profile of the week 👨‍🔬 ! Master student Moritz Meier is working with WASTE Advisers Malawi and Art Malawi to turn plastic waste ♻ into plastic sheets for school desks 🎒.
39,2024-05-15T00:00:00Z,member-7i21,🌟 We're thrilled to welcome @Natalie Boyd Williams as our new ETH postdoctoral fellow! 🎉 Natalie will be leading a project aimed at evaluating the effectiveness and fairness of Switzerland's Article 6-funded biogas project in Malawi. Discover more about Natalie's work and its impact on sustainable development by clicking the link to our latest blog: https://ghe.ethz.ch/ghe-blog-news/2024/05/blog-accountability-in-carbon-offsetting-is-it-effective-is-it-fair.html
40,2024-05-16T00:00:00Z,member-lfen,"Plastic is not cheap! 

An estimated USD 300-600 billion per year is associated with the social and environmental costs of plastic pollution:
📈 USD 61 – 121 billion per year from carbon dioxide emissions
🐟 USD 70 – 144 billion per year from impacts to marine ecosystem services
🌊 USD 1 billion per year for ocean cleanup
⚗ USD 131 billion per year from exposure to hazardous chemicals
☁ USD 31 – 63 billion per year from air pollution

Moreover, these costs disproportionately burden low- and middle-income countries and small island developing states. 

Read more in the #UNEP report “Turning off the Tap”🚰 to understand the importance of the negotiations for the #GlobalPlasticsTreaty concluding at the end of this year and the transformation to a #circulareconomy for #plastic. 

https://www.unep.org/resources/turning-off-tap-end-plastic-pollution-create-circular-economy"
41,2024-05-23T00:00:00Z,member-gu8s,"🚀 We’ve just hit 2000 followers! Thank you for being part of our journey. Here are three highlights from the past year:

👩‍🎓👨‍🎓 Student Success in Waste Management: Five students from four different departments completed their master's projects, each contributing to a comprehensive waste management strategy for Malawi's largest tourist destination. Link: https://www.linkedin.com/feed/update/urn:li:activity:7190663480310468610

🌍💻  Global Engagement in Data Science: Our inaugural data science course for openwashdata attracted over 200 participants from 80+ countries. Link: https://www.linkedin.com/feed/update/urn:li:activity:7132279787103883264

♻️ 🧪 Promoting Sustainability at ETH: We proudly received a bronze certificate in the first round of GreenLabs sustainability assessments, recognizing our efforts towards more sustainable lab practices. Link: https://www.linkedin.com/feed/update/urn:li:activity:7165249960374923264

Here's to many more milestones and achievements together! 

Graphic created with DALL-E 2."
42,2024-05-30T00:00:00Z,member-6b54,"Happy to announce that Lars Schöbitz will speak at the Swiss Reproducibility Conference 2024! Curious about GHE approach? On June 10th, be sure to attend the session ""Plan for Tomorrow Today: Why You Need a Data Steward"" if you are around. Little spoiler of the process 👀:

 📦 Develop R package for seamless audit trails from raw to analysis-ready data.
 🖥️ Store data, code, metadata, and docs on GitHub, adhering to FAIR principles.
 📝 Ensure transparency with each contributor's ORCID ID and a CC-BY license.
 🏛️ Imported published entries easily into ETH Research Collection via DOI.
 📊 Communicate the work and data with visually appealing websites."
43,2024-06-06T00:00:00Z,member-pzlu,"Six months are enough to see the impact of the master's thesis of Raphael Meier on farming practices in Cape Maclear, Malawi! 🌿👨‍🌾 Farmers used the composting knowledge from a trip to Lilongwe and plenty of worms 🪱, marking positive change in soil health 🌱, live in compost near Cape Maclear. 🚜✨"
44,2024-06-11T00:00:00Z,member-l5ex,We were lucky enough to be hosted at the new MUBAS #unipod:  a state of the art innovation hub in Blantyre.  We're already planning our neck prototype-a-thon with our grood friends @Hope Chilunga and Hope K (fill in)
45,2024-06-13T00:00:00Z,member-mbh2,"Our team proudly joined the Frauenstrike in Zurich, standing with women and allies fighting for gender equality, fair wages, and women's rights. Here's a picture of us before joining the strike, ready to support this crucial cause. We're committed to a more just and equitable society. 💪👩‍⚕️🌟

#Frauenstrike #Zurich #GenderEquality"
46,2024-06-20T00:00:00Z,member-7i21,"Celebrating Student Excellence 🎓
We're in awe of the brilliant minds behind these innovative projects:

- Monitoring device for improved cookstoves 🔥
- Data logging for remote biogas sensors 📡
- Methane sensor for biogas digesters 🌍
- Optimizing waste management with AI 🧠
- Fecal sludge trash screen design 🚽
- Innovative mask for waste burners 😷

Huge congratulations to @Louis Ambuehl @Till Häussner @Mario Loeliger @Alex Sucur @Simon Vontobel @Haresh Zeeman from @MAVT for their incredible work! 👏 We're honored to have supported these future changemakers. Their dedication inspires us to keep pushing boundaries. 🚀

What innovative projects have you worked on recently? Share in the comments!"
47,2024-06-24T00:00:00Z,member-6b54,"🚀 First Ever #openwashdata Hackathon Success! 🚀 Last Friday, our host [host name] led a one-day hackathon to create impactful data packages. In just 8 hours, our incredible participants developed 7 diverse data packages focused on Water, Sanitation, and Hygiene. 🌍💧 These datasets span from Malawi 🇲🇼 to Uganda 🇺🇬, Brazil 🇧🇷 to Peru 🇵🇪, and Ghana 🇬🇭 to beyond. A big shoutout to all the participants for their hard work and dedication! Let's keep the momentum going and make a real difference in the WASH sector. 💪💡 #dataforgood #WASHData #openwashdata"
49,2024-07-04T00:00:00Z,member-mbh2,"Last week, our PhD student @Saloni attended the Beyond the Lab Summer School. We were thrilled to see that many topics covered align with our group’s projects/focus areas, including Open Research Data, Beyond Swiss Carbon Offsetting, and Science Communication. 

Kudos to the organizers for a fantastic selection of topics and speakers!

https://www.linkedin.com/feed/update/urn:li:activity:7214652938202271744/"
50,2024-07-11T00:00:00Z,member-gj3t,"🎉 openwashdata enters phase 2: our funding proposal to the Open Research Data Program of the ETH Board was accepted. Read the full proposal here: https://openwashdata.org/pages/gallery/proposal-02/

In this next phase, we will build a data stewardship network with partners from Malawi, South Africa, and Haiti. 

Thank you for sharing our vision for #openwashdata: Sustainable Organic Integrated Livelihoods (SOIL), BASEflow Limited, WASH R&D Centre."
51,NA,member-mbh2,"🌍 New Blog Alert: From Smoke to Solution 🌍

@Saloni Vijay's new blog ""From Smoke to Solution: Advancing Black Carbon as a Regulatory Pollutant,"" highlights the need for establishing regulatory limits on black carbon concentrations and includes her firsthand research experience in Malawi. 

Read the blog here: https://ghe.ethz.ch/ghe-blog-news/2024/07/blog-from-smoke-to-solution-advancing-black-carbon-as-a-regulatory-pollutant.html"
52,2024-07-18T00:00:00Z,member-qaze,"This week, our PostDoc Jan Freihardt visited four of the 36 villages in Bangladesh 🇧🇩 in which he has been conducting a large-scale panel study on environmental #migration and #climateadaptation over the past 4 years. 
For the first time, he witnessed the situation in the villages during the yearly monsoon flooding 🌊  - and was deeply touched by how challenging moving around becomes when roads 🛤️ and even houses 🏠 are underwater. Flooded tube wells 🚰, latrines, and cooking stoves ♨️ greatly complicate daily life. 
At the same time, he was impressed by the resilience 💪 of the communities which have developed various strategies to cope with the yearly recurring floods. 
More info on the study: https://www.research-collection.ethz.ch/handle/20.500.11850/646402"
53,2024-07-25T00:00:00Z,member-6b54,"🎓 Exciting Thesis Opportunities for @D-MAVT students! We're offering dynamic thesis projects, including improving incineration technology🔥, collaborative toilet design🚽, carbon offsetting with biogas, and more. We also have topics like sustainable water filtration🚰, effluent pasteurization, and etc. Apply now to contribute to innovations in global health engineering! 🌍🔬"
54,2024-08-01T00:00:00Z,member-pzlu,"Embracing Open and Reproducible Research in Hardware Design 🚀
We are extending the principles of open and reproducible research to our hardware designs! 🌟 At GHE, we believe that collaboration and transparency drive innovation. That’s why all of our design work will be openly published on GitHub and the ETH Research Collection. 🔗 Check out the link in the comments to explore our projects and join us in shaping the future of hardware design! 💡 #OpenResearch #HardwareDesign #Innovation #Collaboration"
55,2024-08-08T00:00:00Z,member-lfen,"That’s a wrap! Last week, we had our second ✨annual retreat✨! While we usually spend our days working on global health, we switched gears for two days to focus on our organizational health. From finding our strengths as a group 💪 to organizing our project space 🧹 (and of course a few friendly games of Werewolf 🐺), we have come away refreshed and reinvigorated for our research 🚀"
56,2024-08-15T00:00:00Z,member-7i21,"🚨 Last month, our PostDoc, Natalie Boyd Williams, and Data Steward, Colin Walder, were in Malawi interviewing dairy farmers about their needs and motivations for domestic biogas digesters. 🐄💡 We had the privilege of working with four amazing enumerators from @Mzuzu University! 🎓 Stay tuned for exciting research updates! 🔍📊 #Fieldwork #Biogas #Sustainability #GHE #ResearchInAction"
58,2024-08-29T00:00:00Z,member-h8if,Welcome to our freshly equipped lvl2 Microbiology lab. Our first fungal strains arrived last week and are now growing in our lab. GHE is ready to start working in the fascinating field of microbiology… Interested in pathogen inactivation in faecal sludge and fungi-bacteria interaction… we keep you posted
59,2024-09-05T00:00:00Z,member-gj3t,"Where are the pumps  , waste skips  , and humanitarian organizations  ? Check out part 3/3 of our blog post series by Mian Zhong who teaches you how to use R and open data to create maps. Find out more: https://openwashdata.org/pages/blog/posts/2024-03-01-create-map-part-3/"
60,2024-09-12T00:00:00Z,member-qaze,"One of the most touching ❤️ moments during the closing workshop of our research project ""Climate risk, land loss, and migration: Evidence from a Quasi-Experiment in Bangladesh"" 🇧🇩 was when one of our study participants shared the story of her family who had repeatedly lost their house 🏠 and land due to riverbank erosion and a lack of government support. With her story, she challenged the high-level representatives of international and government organizations who had previously presented their strategies for climate change adaptation in Bangladesh. 
This situation vividly illustrates the gap that we frequently experience between what governmental and international organizations plan, and what the communities on the ground would actually want or need. If we are serious about effective climate change adaptation, we urgently need to close this gap. 
What are your experiences? Have you witnessed a similar misalignment between community needs and government plans in other settings? 
#climatechange #adaptation #resilience #Bangladesh"
61,2024-09-19T00:00:00Z,member-pzlu,"Excited to share our newly published policy brief on waste management for Cape Maclear, Malawi! 🌍♻️
This work, based on five Master's theses, aims to improve public health, environmental conditions, and economic opportunities in Cape Maclear.
Read the full brief: https://doi.org/10.3929/ethz-b-000695292
#WasteManagement #SustainableDevelopment #GlobalHealth #Malawi #ETHZurich"
62,2024-09-26T00:00:00Z,member-mbh2,"Our PhD student, @Saloni, presented a poster on ""Black carbon concentrations and sources in Blantyre, Malawi"" at the iCACGP-IGAC Conference 2024 in Kuala Lumpur, Malaysia. 🌍

Her work highlights Blantyre's significant air quality inequities, emphasizing the need for targeted interventions. 🏘️

We are proud of her contributions to advancing air quality research in under-monitored regions! 🙌

#IGAC2024 #BlackCarbon #AirQuality #EnvironmentalEquity"
63,2024-10-03T00:00:00Z,member-7i21,"Last week, 🌍✨ as part of our International Engineering: From Hubris to Hope MSc course at ETH Zurich, we took our learning beyond the classroom to the Swiss National Museum (Landesmuseum) 🏛️. We explored the Colonial Entanglements exhibition, gaining deeper insights into Switzerland's historical ties to colonialism. It was an incredibly insightful afternoon filled with exploration and meaningful discussions! 🤝🔍 #EngineeringEthics #GlobalImpact #ETHZurich"
64,2024-10-10T00:00:00Z,member-gj3t,NA
65,2024-10-17T00:00:00Z,member-gj3t,NA
66,2024-10-24T00:00:00Z,member-gj3t,"Our data management strategy is taking shape. Colin Walder recently presented our publishing workflow at the Swiss Research Data Day. We are actively working on an R package to help us automate the process, so that we can focus on writing informative and complete documentation.Slides: https://openwashdata.org/pages/gallery/slides/srdd2024/washr development: https://github.com/openwashdata-dev/washr#FAIRdata #ORD #openresearch"
67,2024-10-31T00:00:00Z,member-qaze,"Last week, our GHE postdoc @Jan Freihardt co-facilitated a workshop on “Transforming our university teaching towards sustainability” together with @WWF Switzerland, @Swiss Young Academy and @Sustainable Development Solutions Network Switzerland SDSN.

The goal of the workshop was to help young lecturers 👩‍🏫 expand their knowledge on the transformative potential of universities and how this change can be initiated internally within universities. Organized by various stakeholders active in academia, the workshop provided essential basic knowledge, teaching strategies, and support offers to incorporate sustainable development 🌿 into teaching.

You can find the input slides and some materials from the workshops here: https://www.he-sustainability.ch/workshop2024."
68,2024-11-07T00:00:00Z,member-gu8s,"We're excited to host @Hope Chilunga at our group for the next six weeks! 🚀

During his stay, he will write his #ETH4D PhD proposal, focusing on how remote sensing can be leveraged to detect burning waste sites and their emissions. Hope holds a Master in 🤖 and Artificial Intelligence, is a lecturer at @MUBAS and runs his own drone company in Malawi 🇲🇼.

Make sure to catch him while he's here to share his insights on the latest advancements in drone technology or to discuss future collaborations! 🤝"
69,2024-11-14T00:00:00Z,member-gj3t,"Join us on 📅 Thursday 21. November 2024, 17.15 for a talk by Lars Schöbitz on Data Stewardship. He will highlight the challenges of a modern academic, and our internal and external approach to achieve hashtag#FAIR data sharing practices.

Register for in-person event: https://lnkd.in/eZwBjkqd

📍 ETH Zurich, Campus Zentrum (MM C 78.1 – Alumni Pavillon)

💻 Live online: https://lnkd.in/dnFN9YAN"
