"date","overview_page_views","overview_unique_visitors","life_page_views","life_unique_visitors","jobs_page_views","jobs_unique_visitors","total_page_views_desktop","total_page_views_mobile","total_page_views","total_unique_visitors_desktop","total_unique_visitors_mobile","total_unique_visitors"
"2024-04-04",4,2,0,0,1,1,1,4,5,1,1,2
"2024-04-05",2,2,0,0,0,0,2,0,2,2,0,2
"2024-04-06",1,1,0,0,0,0,3,0,3,1,0,1
"2024-04-07",2,1,0,0,0,0,0,2,2,0,1,1
"2024-04-08",5,2,0,0,0,0,10,0,10,2,0,2
"2024-04-09",10,5,0,0,0,0,1,9,10,1,4,5
"2024-04-10",8,7,0,0,0,0,4,4,8,4,3,7
"2024-04-11",10,4,0,0,1,1,14,0,14,4,0,4
"2024-04-12",1,1,0,0,0,0,1,0,1,1,0,1
"2024-04-13",1,1,0,0,0,0,3,0,3,1,0,1
"2024-04-14",0,0,0,0,0,0,0,0,0,0,0,0
"2024-04-15",19,3,0,0,0,0,20,0,20,3,0,3
"2024-04-16",1,1,0,0,0,0,1,0,1,1,0,1
"2024-04-17",20,10,0,0,1,1,11,14,25,5,5,10
"2024-04-18",8,1,0,0,0,0,0,13,13,0,1,1
"2024-04-19",0,0,0,0,0,0,0,0,0,0,0,0
"2024-04-20",2,1,0,0,0,0,3,0,3,1,0,1
"2024-04-21",2,1,0,0,0,0,0,2,2,0,1,1
"2024-04-22",6,5,0,0,0,0,4,4,8,2,3,5
"2024-04-23",8,5,0,0,0,0,9,1,10,4,1,5
"2024-04-24",2,2,0,0,0,0,1,3,4,1,1,2
"2024-04-25",9,2,0,0,0,0,10,0,10,2,0,2
"2024-04-26",7,2,0,0,0,0,6,1,7,1,1,2
"2024-04-27",0,0,0,0,0,0,0,0,0,0,0,0
"2024-04-28",0,0,0,0,0,0,0,0,0,0,0,0
"2024-04-29",27,9,0,0,1,1,0,29,29,0,9,9
"2024-04-30",11,6,0,0,0,0,1,10,11,1,5,6
"2024-05-01",3,2,0,0,0,0,0,3,3,0,2,2
"2024-05-02",10,4,0,0,0,0,2,8,10,2,2,4
"2024-05-03",5,3,0,0,1,1,0,8,8,0,3,3
"2024-05-04",0,0,0,0,0,0,0,0,0,0,0,0
"2024-05-05",10,4,0,0,1,1,5,7,12,2,2,4
"2024-05-06",3,3,0,0,0,0,3,0,3,3,0,3
"2024-05-07",17,3,0,0,3,2,3,17,20,1,2,3
"2024-05-08",25,3,0,0,0,0,25,0,25,3,0,3
"2024-05-09",3,2,0,0,0,0,2,2,4,1,1,2
"2024-05-10",2,2,0,0,0,0,1,1,2,1,1,2
"2024-05-11",0,0,0,0,0,0,0,0,0,0,0,0
"2024-05-12",0,0,0,0,0,0,0,0,0,0,0,0
"2024-05-13",17,7,0,0,0,0,10,7,17,2,5,7
"2024-05-14",4,3,0,0,0,0,1,3,4,1,2,3
"2024-05-15",28,15,0,0,4,3,18,21,39,6,9,15
"2024-05-16",17,10,0,0,2,2,13,8,21,6,4,10
"2024-05-17",8,6,0,0,1,1,3,6,9,3,3,6
"2024-05-18",2,2,0,0,0,0,1,1,2,1,1,2
"2024-05-19",2,2,0,0,0,0,0,2,2,0,2,2
"2024-05-20",13,8,0,0,3,3,9,13,22,3,6,9
"2024-05-21",19,6,0,0,6,3,5,32,37,1,5,6
"2024-05-22",2,1,0,0,0,0,2,0,2,1,0,1
"2024-05-23",10,4,0,0,2,1,15,1,16,3,1,4
"2024-05-24",3,2,0,0,0,0,3,0,3,2,0,2
"2024-05-25",3,2,0,0,0,0,0,3,3,0,2,2
"2024-05-26",2,2,0,0,0,0,1,1,2,1,1,2
"2024-05-27",6,5,0,0,0,0,7,1,8,4,1,5
"2024-05-28",1,1,0,0,0,0,0,1,1,0,1,1
"2024-05-29",4,2,0,0,1,1,2,3,5,1,1,2
"2024-05-30",0,0,0,0,0,0,0,0,0,0,0,0
"2024-05-31",0,0,0,0,0,0,1,0,1,1,0,1
"2024-06-01",3,2,0,0,1,1,3,2,5,1,1,2
"2024-06-02",3,3,0,0,0,0,0,3,3,0,3,3
"2024-06-03",8,5,0,0,1,1,3,9,12,3,2,5
"2024-06-04",5,2,0,0,0,0,1,5,6,1,1,2
"2024-06-05",4,3,0,0,0,0,5,0,5,3,0,3
"2024-06-06",19,10,0,0,0,0,10,12,22,7,3,10
"2024-06-07",4,1,0,0,0,0,0,5,5,0,1,1
"2024-06-08",2,2,0,0,0,0,0,4,4,0,2,2
"2024-06-09",0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-10",8,5,0,0,0,0,6,2,8,3,2,5
"2024-06-11",10,8,0,0,2,2,8,6,14,5,4,9
"2024-06-12",18,6,0,0,1,1,16,5,21,4,2,6
"2024-06-13",1,1,0,0,0,0,0,1,1,0,1,1
"2024-06-14",1,1,0,0,0,0,2,0,2,1,0,1
"2024-06-15",21,4,0,0,0,0,0,21,21,0,4,4
"2024-06-16",3,2,0,0,0,0,0,3,3,0,2,2
"2024-06-17",6,4,0,0,0,0,1,7,8,1,3,4
"2024-06-18",1,1,0,0,0,0,0,1,1,0,1,1
"2024-06-19",9,3,0,0,0,0,9,0,9,3,0,3
"2024-06-20",5,3,0,0,0,0,2,3,5,1,2,3
"2024-06-21",9,4,0,0,0,0,8,1,9,3,1,4
"2024-06-22",0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-23",0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-24",6,3,0,0,0,0,5,2,7,3,2,4
"2024-06-25",4,4,0,0,0,0,2,3,5,2,2,4
"2024-06-26",17,10,0,0,2,2,12,12,24,5,6,11
"2024-06-27",15,6,0,0,1,1,4,19,23,3,4,7
"2024-06-28",2,2,0,0,1,1,1,5,6,1,1,2
"2024-06-29",0,0,0,0,0,0,0,0,0,0,0,0
"2024-06-30",1,1,0,0,0,0,2,0,2,1,0,1
"2024-07-01",6,5,0,0,0,0,5,1,6,4,1,5
"2024-07-02",5,5,0,0,0,0,2,5,7,2,4,6
"2024-07-03",7,4,0,0,1,1,5,3,8,2,2,4
"2024-07-04",2,1,0,0,1,1,2,1,3,1,1,2
"2024-07-05",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-06",0,0,0,0,0,0,2,0,2,1,0,1
"2024-07-07",1,1,0,0,0,0,1,0,1,1,0,1
"2024-07-08",5,2,0,0,0,0,5,0,5,2,0,2
"2024-07-09",8,5,0,0,2,2,14,0,14,5,0,5
"2024-07-10",9,5,0,0,1,1,10,0,10,5,0,5
"2024-07-11",1,1,0,0,0,0,0,1,1,0,1,1
"2024-07-12",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-13",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-14",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-15",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-16",20,2,0,0,0,0,20,0,20,2,0,2
"2024-07-17",4,3,0,0,0,0,7,2,9,3,1,4
"2024-07-18",4,1,0,0,0,0,4,0,4,1,0,1
"2024-07-19",1,1,0,0,0,0,1,0,1,1,0,1
"2024-07-20",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-21",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-22",34,20,0,0,2,2,22,20,42,9,11,20
"2024-07-23",24,19,0,0,2,1,11,16,27,7,12,19
"2024-07-24",17,5,0,0,1,1,12,6,18,1,5,6
"2024-07-25",14,4,0,0,0,0,15,3,18,3,1,4
"2024-07-26",2,2,0,0,0,0,1,1,2,1,1,2
"2024-07-27",1,1,0,0,0,0,1,0,1,1,0,1
"2024-07-28",0,0,0,0,0,0,0,0,0,0,0,0
"2024-07-29",5,5,0,0,0,0,4,1,5,4,1,5
"2024-07-30",5,2,0,0,1,1,7,0,7,2,0,2
"2024-07-31",3,2,0,0,0,0,4,0,4,2,0,2
"2024-08-01",1,1,0,0,1,1,0,2,2,0,1,1
"2024-08-02",1,1,0,0,0,0,0,1,1,0,1,1
"2024-08-03",0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-04",6,1,0,0,1,1,0,10,10,0,2,2
"2024-08-05",2,1,0,0,0,0,2,0,2,1,0,1
"2024-08-06",5,4,0,0,0,0,4,1,5,3,1,4
"2024-08-07",4,4,0,0,0,0,4,0,4,4,0,4
"2024-08-08",7,1,0,0,0,0,7,0,7,1,0,1
"2024-08-09",0,0,0,0,0,0,0,1,1,0,1,1
"2024-08-10",0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-11",2,2,0,0,0,0,0,2,2,0,2,2
"2024-08-12",10,2,0,0,0,0,10,0,10,2,0,2
"2024-08-13",6,1,0,0,1,1,6,3,9,1,2,3
"2024-08-14",7,3,0,0,0,0,2,5,7,1,2,3
"2024-08-15",5,2,0,0,0,0,0,5,5,0,2,2
"2024-08-16",1,1,0,0,0,0,0,1,1,0,1,1
"2024-08-17",0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-18",1,1,0,0,0,0,1,0,1,1,0,1
"2024-08-19",8,3,0,0,1,1,8,3,11,3,1,4
"2024-08-20",9,4,0,0,0,0,6,3,9,3,1,4
"2024-08-21",11,2,0,0,0,0,11,0,11,2,0,2
"2024-08-22",1,1,0,0,0,0,1,0,1,1,0,1
"2024-08-23",0,0,0,0,0,0,0,0,0,0,0,0
"2024-08-24",2,2,0,0,0,0,0,2,2,0,2,2
"2024-08-25",4,3,0,0,0,0,1,3,4,1,2,3
"2024-08-26",4,3,0,0,2,1,1,5,6,1,2,3
"2024-08-27",3,2,0,0,0,0,1,2,3,1,1,2
"2024-08-28",2,1,0,0,0,0,2,0,2,1,0,1
"2024-08-29",8,3,0,0,0,0,8,0,8,3,0,3
"2024-08-30",1,1,0,0,0,0,0,1,1,0,1,1
"2024-08-31",3,2,0,0,0,0,3,0,3,2,0,2
"2024-09-01",1,1,0,0,0,0,1,0,1,1,0,1
"2024-09-02",2,1,0,0,0,0,0,8,8,0,1,1
"2024-09-03",11,7,0,0,2,2,4,11,15,3,6,9
"2024-09-04",6,3,0,0,0,0,6,0,6,3,0,3
"2024-09-05",0,0,0,0,0,0,0,1,1,0,1,1
"2024-09-06",5,3,0,0,0,0,5,0,5,3,0,3
"2024-09-07",0,0,0,0,0,0,0,0,0,0,0,0
"2024-09-08",0,0,0,0,0,0,0,0,0,0,0,0
"2024-09-09",1,1,0,0,0,0,1,0,1,1,0,1
"2024-09-10",8,6,0,0,0,0,2,11,13,1,5,6
"2024-09-11",9,6,0,0,0,0,7,2,9,4,2,6
"2024-09-12",3,1,0,0,2,2,0,7,7,0,2,2
"2024-09-13",3,2,0,0,0,0,3,0,3,2,0,2
"2024-09-14",1,1,0,0,0,0,0,1,1,0,1,1
"2024-09-15",1,1,0,0,0,0,0,1,1,0,1,1
"2024-09-16",2,2,0,0,2,1,4,5,9,2,1,3
"2024-09-17",10,9,0,0,1,1,11,0,11,9,0,9
"2024-09-18",0,0,0,0,0,0,0,0,0,0,0,0
"2024-09-19",0,0,0,0,0,0,0,0,0,0,0,0
"2024-09-20",1,1,0,0,0,0,0,4,4,0,1,1
"2024-09-21",5,3,0,0,0,0,4,2,6,2,1,3
"2024-09-22",3,2,0,0,0,0,0,4,4,0,2,2
"2024-09-23",7,5,0,0,0,0,2,5,7,2,3,5
"2024-09-24",4,3,0,0,3,2,6,2,8,3,2,5
"2024-09-25",3,3,0,0,0,0,2,3,5,2,1,3
"2024-09-26",4,2,0,0,1,1,1,6,7,1,1,2
"2024-09-27",1,1,0,0,0,0,2,0,2,2,0,2
"2024-09-28",1,1,0,0,0,0,0,1,1,0,1,1
"2024-09-29",0,0,0,0,0,0,0,0,0,0,0,0
"2024-09-30",3,2,0,0,1,1,3,4,7,2,2,4
"2024-10-01",7,4,0,0,2,1,6,7,13,3,2,5
"2024-10-02",0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-03",0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-04",1,1,0,0,0,0,0,1,1,0,1,1
"2024-10-05",0,0,0,0,0,0,0,0,0,0,0,0
"2024-10-06",2,1,0,0,0,0,0,4,4,0,1,1
"2024-10-07",1,1,0,0,1,1,0,2,2,0,1,1
"2024-10-08",1,1,0,0,0,0,1,0,1,1,0,1
"2024-10-09",3,2,0,0,0,0,2,2,4,1,2,3
